"arkindex_paragraph_id"|"ground_truth"|"dan_prediction"|"arkindex_page_url"
"5525282d-7a18-4daa-9c4c-ca3cf9b7ba09"|"Rosenvænget 28 - nov - 1910
Hr Direktør J. Thiis!
De ved naturligvis, at jeg er bleven
Ridder af St. Olavsordenen, og
da De vist har været med til at for-
årsage, at dette skete, beder jeg Dem
modtage min tak og tillige bringe
den videre til alle rette vedkom-
mende, med min bedste hilsen og
tak for sidst.
Desværre synes jeg jo ikke, at jeg har
fortjænt den, da jeg kun forårsagede
en våbenstilstand. Jeg er jo ikke lidt
spændt på hvorledes det ender.
Endelig smærter det mig ikke lidt, at
min gamle ven Eilif Peterssen tager
sig sagen nær. Med venlig hilsen
Deres Joakim Skovgaard"|"Rosenværget 28-nor-1910
Hr Direktør Ø. Thiis!
De ved naturligvis, at jeg er bleven
Ridder af St. Olavsordenen, og
da De vist har været med til at for-
årsage, at dette skete, beder jeg Dem
modtage min tak og tillige bringe
den videre til alle rette vedkom-
mende, med min bedste hilsen og
tak for sidst.
Desværre synes jeg jo ikke, at jeg har
fortjænt den, da jeg kun forårsagede
en våbenstilstand. Jeg er jo ikke lidt
Brændt på hvorledes det ender.
Endelig smærter det mig ikke lidt, at
min gamle ven Eilif Peterssen tager
sig sagen nær. Med venlig hilsen
Deres Boakim Korgaard"|"https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227"
"eb52b503-55de-4388-bf71-afc7059573ad"|"Eivind Astrup,
Christiania.
21/12-95.
Til Verdens Gangs Redaktion:
Tillad mig herigjennem
at udtrykke min hjerteligste
tak for den store velvilje,
hvormed De flere gange har
omtalt min nylig udkomne
bog: ""Blandt Nordpolens Naboer""
i Deres ærede blad.
Deres ærbødige
Eivind Astrup."|"21/12-55.
Til Verdens Gangs Redaktion:
Tillad mig herigjennem
at udtrykke min hjerteligste
tak for den store velvilje,
hvormed De flere gange har
omtalt min nolig udkomme
hog: ""Blandt hardfsolerss hahoum
i Deres ærede blad
Deres ærbødige
Givind Hotrup."|"https://demo.arkindex.org/element/0ad7f5ba-d7ee-4d25-89ad-16db2daa3f86"
"2564a298-2650-4294-b97e-f396b4bead83"|"Flensburg 16.11.13
Selvfølglig ikke. -
Alt gik utmærket iaften.
Hviss redaktør Nilsen er i
forbindelse med Mittet så
skriv ham vedlakte på et
av mine undertegnete papi-
rer er du snild.
Send det til Århus. -
Hjertelig hilsen
Roald."|"Hensbarg 16. 11.13
Serfølglig ikke. -
Alt gik utmærket infleu.
Herjes udaktør Nilsen er i
forbindske med Miltil så
skriv ham vedtakte på en
av mine anderlignelse pape-
rer er der sened.
Lend den til Arhus. -
Hjertlig Enken
Bred."|"https://demo.arkindex.org/element/0aeebaca-b2e6-43ab-9b5c-7d90ddfa5522"
"d93f7ea6-d008-4e23-96a8-d1b4e8d7d7ca"|"Fru Camilla Collett.
Undertegnede bringer sin ærbødige
og hjertelige Tak for den Gave paa
Kr. 100 som De har delt mellem
Nattely, den vordende Arbejdsstue for Kvin-
der og Aftenhjemmet, en Gave, der
er os saa meget kjærere, som den kom-
mer fra Dem.
Kristiania 23 Marts 1893.
Martha Brun.
Gustav Jensen.
G. Finne"|"Fru Camilla Collett.
Undertegnede bringer sin ærbødige
og hjertelige Tak for den Gave paa
Kr. 100, som De har delte mellems
Nattelig, den vordende Arbejdsstue for Kvin-
der og Aftenhjemmet, en Gave, der
er os saa meget kjærere, som den kom-
mer fra Dem.
Kristiania 23 Marts 1893.
Martha Brun.
D. Fulle"|"https://demo.arkindex.org/element/102ca72a-6c62-4f26-ad06-51c1a230febb"
"91202a3c-46eb-49ee-bf4a-0d1b81190380"|"av brev Frøis Frøisland 12/10-25
var forma slik at De hadde grunn til å kjenne Dokk
sård så ber eg um tilgjeving! Og eg vilde vere takksam um De
vilde take meg på ordlyda av det eg skreiv.
De har fått ein ansvarsfull post på Noregs største talarstol, eg vil
ynskje Dokk hjerteleg til lykke, - at det må lykkest
for
Dokk å så eit godt
såfrø til rik vekst for eit fagert folkeliv i vårt kjære Noreg!
Med
hjerteleg helsing og takk!
Vyrds.
I. B."|"an brev trois brøisland i 11/10-25
- - - var former ikke at De haste grunn til å hjemme døkke
sård sår hed og nu tilgjering! Og og vilde over tikkes an nu de
vilde tate mig få ordtyde andet og akreie.
Da har fatt in ansvarsfall post på Norgs atørete tileratol, og al
gnskje døkk hjertelig til lykke, - et det må lykkel Dok å så at gode
sefør til åk vakst for ut fag at ""olkeliv i vårt kjære Norg!
Hed Elv tjortelig hilsig og takk!
Vigrid
F. B.
667"|"https://demo.arkindex.org/element/124d818b-d57d-4f9f-b4d5-7a1c1238b243"
"49ea04b2-6fa5-4be5-a75b-1032201cc90b"|"Kristiania 26-1-79.
Hr Ivar Aasen!
Da der paa førstkommende Lørdag i Studenter-
samfundet skal aabnes en Diskusion om Maal-
sagen, tager jeg mig herved den Ære at underret-
te Dem derom.
Paa Studentersamfundets Bestyr-
elses Vegne
ærbødigst
Erik Vullum
p. T. Formand."|"174
Kristiania 26-1-79.
Hr Ivar Jasen!
Da du paa førstkommende Lørdag i Studenter-
samfundet skal aalnes en Diskusion om Maal-
sagen, tager jo mig herved den Dre at underret,
te Dem derom.
Paa Andentursomfindets Aatyr,
elser Vegne
Ærbødigst
Erehr Vullum
fr. T. Forwand.
Erchr Vullum
fr. T. Formand."|"https://demo.arkindex.org/element/1726ba3f-0949-4f6a-9840-de15bc953d3d"
"9cec9195-a44b-49d0-91ec-0b3c135f3beb"|"Thomle
Drammen den 18de Febr 1880.
Herr Ivar Aasen!
Jeg er i Besiddelse af Deres
Bog om norske Navne; men kan
i denne, ikke finde Navnet
""Arnljot""; da jeg altid har troet
at Navnet Arnljot har været
Norskt, og tillige har fundet at
dette Navn har været et af de
smukkeste jeg har fundet i vor
gamle Historie, vil jeg være Dem
meget taknemmelig, om De velvillig
vilde underrette mig om, hvorfra
Navnet stammer - samt om dets
Betydning. -
Haabende De undskylder Henvendelsen
undertegner jeg Deres med Høiagtelse
N. B. Thomle.
Adr: ""Drammen""."|"Thonde
Drammen den 18de Febr 1880.
Herr Ovar Aasen!
Jeg er i Besuldelse af Deres
Bage om norske Navne; men kan
i denne, ikke finde Navnet
""Arnljot""; da jeg altid har troet
at Navnet Arnljat har været
Norskt, og tillige har fundet at
dette Navn har været et af ell
smukkeste jeg har fundet i var
gamle Historier, vil jeg være Dem
meget taknemmelig, om De velvillig
vilde underrette mig om, hvorfra
Navnet stammer - samt om dets
Betyelning. -
Haabende Du undskylde Hennendelsen
medertegner jeg Deres med Høiagtelse
N. 8. Thomle.
Adr: ""Drammen""."|"https://demo.arkindex.org/element/1dc29c02-1ad1-4777-9ff0-0cbf1b06385d"
"cf05a151-a799-4ea7-8333-00eb7e3d1a4e"|"DET NORSKE METEOROLOGISKE
INSTITUT.
CHRISTIANIA 15. December 1899
Kjære Collega,
Med Collegiets Tilladelse har
jeg bestilt et selvregistrerende Hygro-
meter hos Richard. det registrerer rela-
tiv Fugtighed som Haarhygrometer. Ligesaa
har jeg bestilt nye Penne. Vi har Under
Ballance, men har faaet Lov at telle
Apparatet paa næste Aars Budget.
Jeg sender Dem en fransk Afhandling om
Luftelektricitetens daglige Periode, der
turde interessere Dem. Her er alt vel.
Faar man høre noget om deres Arbejder?
Jeg har regnet ud, i hvilken Højde Solstraalerne
i Mørketiden skjærer Verticalen i forskjellige Bredder
og Datumer og Klokkeslet. Har de Brug for dette
saa skal jeg sende Resultaterne. Det var v. Bezold som
satte mig paa det. Med venligste Hilsener deres
H Mohn."|"Det nokske mere Collega,
Med Colleguts Tilladelse har
jeg bestilt et selvregishende Hygro-
meter hos Richard. det registun rela-
liv Fuglighed som Haarhygronieter. Lysen
har jeg laatelt nye Penne. Vi har Under
Callance, men har faaet Lov af tem
Akkonalet paa neiste Aars Budget.
Jeg sinder dem en fransk Afhundling om
Luftelektricettens daglige Feriøde, der
turde interessere Dem. Her er alt vel.
Faar mom høre noget om deres Arbejder?
Jeg har regnet ud, i hvæken trøgde Solskaalerne
i Mørkeliden skjærer Verticalen i forskjellen Moder
og Datamer og Klokkestet. Har de Brug for dette
saa skal jeg sende Rescækelsene. Det var v. Begold som
satte mig paa det. Med venligste Hilsener Deres
HHlg M."|"https://demo.arkindex.org/element/2080bd5f-2c9c-4889-bdde-0a093d46f3c6"
"822da0fc-6453-4fc6-b3bb-c9d99c896eea"|"Frimansgade 20, 1. 1895
Fredag. 12te April.
Til Bestyrelsen for Læseforening
for Kvinder!
Først ved min hjemkomst fra Stock-
holm igaar modtog jeg den ærede Besty-
relses brev, hvorfor jeg beder mig undskyldt
den sene besvarelse.
Det vil naturligvis være mig en ære og en
glæde at modtage den elskværdige og hædrende
indbydelse, hvorfor udtales min hjerteligste
Tak.
Alvilde Prydz."|"v.8.0510 Frimansgade 20, 1. 1895-
Trædag. 12te April.
Til Bestyrelsen for Edseforening
for Kvinder!
Først ved min hjemkunst fra Stock
holm igaar modtog jeg den ærede Besty-
relses brev, hvorfor jeg beder mig undskyldt
den sene besvanlse.
Det vil naturligvis være mig en dre og en
glæde at modtage den elskværdige og hædvende
indbydelse, hvorfor ustales min hjerteligste
tak.
Alvilde Pryde."|"https://demo.arkindex.org/element/20d10cf5-b6ee-4101-a25a-3e747e8ddc3c"
"9f301ef9-765c-45be-9948-b9a4de067de0"|"22-12-1920
Kjære Gustav Vigeland!
Jeg kan ikke la være at 
sende Dem denne lille
Boken min. Jeg vet ikke
hvordan De har det med disse
Ting - om de agter eller for-
agter. Men det vet jeg, at
jeg gjennem 2 Aars Tugt har
faat se at der er en Sand-
het som staar, naar alt
andet ramler. Der er et
fast Punkt. Jesu Kors.
For Ham skal hvert Kne
bøie sig. Det skulde meget
til før mit blev bøiet. Men
nu skal jeg love at jeg er
glad det er gjort. Ja undskyld
dette. Jeg ønsker Dem alt godt.
Ja det bedste jeg vet
Deres hengivne
Carl Bang."|"22-12-1920
Kjære Gudtav Vigeland!
Jeg han ikke la være at
sende Dem denne lille
Bohen min. Jeg vet ikke
hvordan De har det med disse
Ting - om de agter eller for-
agter. Men det vet jeg, at
jeg gjennem 2 Aar Tugt har
faat se at der er en Sand-
tret som staar, naar alt
andet ramler. Der er et
fast Punkt. Jern Kors.
For Ham skal hvert Knue
bøie sig. Det skulde meget
til før mit blev bøiet. Men
nu skal jeg love at jeg er
glad det er gjort. Ja undskyld
dette. Jeg ønsker Dem alt godt.
Ja det bedste jeg vet
Deres hengivne
Caro Bang."|"https://demo.arkindex.org/element/27d00a6c-ea62-4806-a1b4-35f8be939cbf"
