line,ground_truth,pylaia_prediction,highlight_url,callico_task_url,arkindex_page_url,csv_name,callico_id,arkindex_id,arkindex_line_id
0,Rosenvænget 28 - nov - 1910,Rosenværget 28- nov-1910,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=e7ddbd5d-37e8-439c-aff3-779cea3ad95d,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,e7ddbd5d-37e8-439c-aff3-779cea3ad95d
1,Hr Direktør J. Thiis!,Hr Direktør J. Thiis!,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=8f159f09-0657-45ce-951b-75fe31baf522,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,8f159f09-0657-45ce-951b-75fe31baf522
2,"De ved naturligvis, at jeg er bleven","De ved naturligvis, at jeg er bliven",https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=0a0b69c6-ee66-42d7-ac55-768892844036,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,0a0b69c6-ee66-42d7-ac55-768892844036
3,"Ridder af St. Olavsordenen, og","Ridder af St. Olavsordenen, og",https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=bef522aa-e8e7-478c-9108-e69b27a1b51c,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,bef522aa-e8e7-478c-9108-e69b27a1b51c
4,da De vist har været med til at for-,da De vist har været med til at for-,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=d395852d-47c6-4db3-9764-e79fb59ca25d,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,d395852d-47c6-4db3-9764-e79fb59ca25d
5,"årsage, at dette skete, beder jeg Dem","årsage, at dette skete, beder jeg Dem",https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=186f3293-cdd2-4bc4-9a62-627d95f00ca2,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,186f3293-cdd2-4bc4-9a62-627d95f00ca2
6,modtage min tak og tillige bringe,modtage min tak og tillige bringe,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=2edd0a6d-e426-4973-8143-52a8b6c25d11,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,2edd0a6d-e426-4973-8143-52a8b6c25d11
7,den videre til alle rette vedkom-,den videre til alle rette vedkom-,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=dddfc0ef-19d8-4a83-9810-d5fc8e90a971,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,dddfc0ef-19d8-4a83-9810-d5fc8e90a971
8,"mende, med min bedste hilsen og","mende, med min bedste hilsen og",https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=c16a8fcf-1c17-4de9-94c4-53bdc9f788ac,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,c16a8fcf-1c17-4de9-94c4-53bdc9f788ac
9,tak for sidst.,tak for sidst.,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227?highlight=ab6814e8-4d2f-4e75-b33f-7d54c6b96be7,https://callico.teklia.com/annotation/4becdbea-85d3-4b0f-938e-9cf96315b806/annotate/transcription/,https://demo.arkindex.org/element/02f02f39-fd11-4542-92a3-9e16d9fc3227,02f02f39-fd11-4542-92a3-9e16d9fc3227,4becdbea-85d3-4b0f-938e-9cf96315b806,02f02f39-fd11-4542-92a3-9e16d9fc3227,ab6814e8-4d2f-4e75-b33f-7d54c6b96be7
